hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
1, 0.00000, 239.065, 77.2879, 239.04, 77.2887, 239.062, 77.2928
2, 0.00000, 217.254, 85.8814, 217.229, 85.8833, 217.253, 85.8869
3, 0.00000, 201.428, 96.0874, 201.405, 96.0907, 201.431, 96.0933
4, 0.00000, 196.221, 101.709, 196.199, 101.713, 196.227, 101.715
5, 0.00000, 239.073, 77.2857, 239.047, 77.2865, 239.069, 77.2906
6, 0.00000, 545.598, 29.6604, 545.579, 29.6586, 545.581, 29.6616
7, 0.00000, 648.629, 28.8632, 648.61, 28.8617, 648.611, 28.8642
8, 0.00000, 669.327, 28.7385, 669.307, 28.737, 669.309, 28.7394
9, 0.00000, 700.48, 28.5684, 700.46, 28.567, 700.462, 28.5693
10, 0.00000, 648.647, 28.8632, 648.627, 28.8617, 648.629, 28.8642
11, 0.00000, 596.994, 29.2213, 596.974, 29.2197, 596.976, 29.2224
12, 0.00000, 545.613, 29.6602, 545.593, 29.6585, 545.595, 29.6614
13, 0.00000, 617.61, 29.0695, 617.591, 29.068, 617.592, 29.0705
14, 0.00000, 648.57, 28.8632, 648.551, 28.8618, 648.552, 28.8642
15, 0.00000, 700.552, 28.5685, 700.533, 28.5671, 700.535, 28.5694
16, 0.00000, 752.734, 28.3245, 752.715, 28.3232, 752.717, 28.3253
17, 0.00000, 1108.26, 20.4684, 1108.24, 20.4674, 1108.24, 20.4689
18, 0.00000, 1160.97, 20.6952, 1160.95, 20.6943, 1160.95, 20.6956
19, 0.00000, 1192.78, 20.8258, 1192.76, 20.8249, 1192.76, 20.8262
20, 0.00000, 1150.42, 20.6509, 1150.4, 20.65, 1150.4, 20.6513
21, 0.00000, 1055.67, 20.2278, 1055.66, 20.2268, 1055.65, 20.2283
22, 0.00000, 1003.37, 19.9719, 1003.35, 19.9707, 1003.35, 19.9723
23, 0.00000, 617.632, 29.0694, 617.612, 29.0679, 617.614, 29.0705
24, 0.00000, 545.615, 29.6602, 545.596, 29.6585, 545.598, 29.6614
25, 0.00000, 239.071, 77.2859, 239.045, 77.2868, 239.067, 77.2909
